subject,http://www.w3.org/2000/01/rdf-schema#label,http://purl.org/dc/terms/source,http://purl.org/dc/terms/description,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2000/01/rdf-schema#comment,http://purl.org/vocab/vann/preferredNamespacePrefix,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/conformsTo,http://www.w3.org/2002/07/owl#imports,http://www.w3.org/2002/07/owl#versionIRI,http://purl.org/dc/terms/license,http://purl.org/dc/terms/created
https://isotc211.geolexica.org/api/sources#ISO-10303-2005,ISO 10303-227:2005,https://www.iso.org/standard/34006.html^^http://www.w3.org/2001/XMLSchema#anyURI,Industrial automation systems and integration — Product data representation and exchange — Part 227: Application protocol: Plant spatial configuration@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19145-2013,ISO 19145:2013,https://www.iso.org/standard/32563.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Registry of representations of geographic point location@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-10746-3-1996,ISO/IEC 10746-3:1996,https://www.iso.org/standard/20697.html^^http://www.w3.org/2001/XMLSchema#anyURI,Information technology — Open Distributed Processing — Reference Model: Architecture@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19118-2011,ISO 19118:2011,https://www.iso.org/standard/44212.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Encoding@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#UPU_Standards_Glossary,UPU Standards Glossary,,,https://isotc211.geolexica.org/api/geolexica#Source,UPU Standards Glossary@en,Need source URI@en,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19101-2-2018,ISO 19101-2:2018,https://www.iso.org/standard/69325.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Reference model — Part 2: Imagery@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19109-2005,ISO 19109:2005,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19129-2009,ISO/TS 19129:2009,https://www.iso.org/standard/43041.html^^http://www.w3.org/2001/XMLSchema#anyURI,"Geographic information — Imagery, gridded and coverage data framework@en",https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19111-2019,ISO 19111:2019,https://www.iso.org/standard/74039.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Referencing by coordinates@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#UN-ECE-2004,"UN/ECE, 2004",,,https://isotc211.geolexica.org/api/geolexica#Source,"UN/ECE, 2004@en",Need source URI@en,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19130-2010,ISO/TS 19130:2010,https://www.iso.org/standard/51789.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information - Imagery sensor models for geopositioning@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-IEC-19501-2005,ISO/IEC 19501:2005,https://www.iso.org/standard/32620.html^^http://www.w3.org/2001/XMLSchema#anyURI,Information technology — Open Distributed Processing — Unified Modeling Language (UML) Version 1.4.2@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19141-2008,ISO 19141:2008,https://www.iso.org/standard/41445.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Schema for moving features@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#W3C-XML,W3C XML,,,https://isotc211.geolexica.org/api/geolexica#Source,W3C XML@en,Need source URI@en,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19113-2002,ISO 19113:2002,https://www.iso.org/standard/26018.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Quality principles@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19136-2-2015,ISO 19136-2:2015,https://www.iso.org/standard/61585.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Geography Markup Language (GML) — Part 2: Extended schemas and encoding rules@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#UML_Semantics,"OMG/UML UML Semantics, version 1.3, 1997.",,,https://isotc211.geolexica.org/api/geolexica#Source,"OMG/UML UML Semantics, version 1.3, 1997.@en",Need source URI@en,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19154-2014,ISO 19154:2014,https://www.iso.org/standard/32572.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Ubiquitous public access — Reference model@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19105-2000,ISO 19105:2000,https://www.iso.org/standard/26010.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Conformance and testing@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#VIM_Derived,Derived from VIM,,,https://isotc211.geolexica.org/api/geolexica#Source,Derived from VIM@en,See VIM:1993@en,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,Need source URI@en,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19106-2004,ISO 19106:2004,https://www.iso.org/standard/37805.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Positioning services@en,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#CEOS_WGCV,CEOS WGCV,,,https://isotc211.geolexica.org/api/geolexica#Source,CEOS WGCV@en,Need source URI@en,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
